n_cities,alpha,beta,avg_baseline_cost,avg_ils_cost,avg_improvement_pct,num_instances
10,0.0,0.5,10.749655499577713,4.783776174334304,0.5359911070563869,3
10,0.0,1,10.749655499577713,4.783776174334304,0.5359911070563869,3
10,0.0,2,10.749655499577713,4.783776174334304,0.5359911070563869,3
10,0.0,4,10.749655499577713,4.783776174334304,0.5359911070563869,3
10,1.0,0.5,193.3269255075276,145.32739342942037,0.19459592400772854,3
10,1.0,1,2956.246011390845,2953.164579444991,0.0007613049336679182,3
10,1.0,2,977317.5022663572,1140710.3627219321,-0.005672845649759987,3
10,1.0,4,175029274605.48755,228118975226.68002,0.29813883550136044,3
10,2.0,0.5,268.95290692587497,202.4041856333437,0.19280707825540896,3
10,2.0,1,5901.742367282112,5898.660935336258,0.0003813316618059026,3
10,2.0,2,3909237.7600989304,4759937.773491653,-0.03208696433415357,3
10,2.0,4,2800468393526.5557,3865036021664.5903,0.2655932004264426,3
10,4.0,0.5,375.9041955154775,283.12295926488304,0.191505194092874,3
10,4.0,1,11792.735079064647,11791.166175785658,0.00011340897550881864,3
10,4.0,2,15636918.791429223,17051851.02876554,0.047597632954416456,3
10,4.0,4,44807494296263.65,49660367099456.375,0.34931837850673403,3
50,0.0,0.5,42.59218617557699,21.861335117438284,0.49153025221105623,3
50,0.0,1,42.59218617557699,21.861335117438284,0.49153025221105623,3
50,0.0,2,42.59218617557699,21.861335117438284,0.49153025221105623,3
50,0.0,4,42.59218617557699,21.861335117438284,0.49153025221105623,3
50,1.0,0.5,861.8136617496513,693.6156188892114,0.16817120457970366,3
50,1.0,1,10322.933633958246,10322.216810227284,6.473030788767049e-05,3
50,1.0,2,2207220.668632542,2331661.8764296486,-0.030617426113282848,3
50,1.0,4,191390995894.20987,58170726011.15363,0.711835126677217,3
50,2.0,0.5,1201.1463075197325,974.8672834095433,0.1631898597863326,3
50,2.0,1,20603.275081740914,20602.37796400799,4.1290373779212937e-05,3
50,2.0,2,8828754.89797164,9253136.731072506,-0.023011059507380704,3
50,2.0,4,3062255933668.4746,981044712964.5931,0.6982933937196844,3
50,4.0,0.5,1681.0351373237256,1358.6306156087774,0.1658968176972457,3
50,4.0,1,41163.95797730625,41163.15722088402,1.87182121163983e-05,3
50,4.0,2,35314891.81532804,37254772.92324055,-0.030330622355735193,3
50,4.0,4,48996094938056.71,15430294581097.086,0.7027437696094635,3
100,0.0,0.5,86.26183374835472,13.398303686875254,0.8488760268261663,3
100,0.0,1,86.26183374835472,13.398303686875254,0.8488760268261663,3
100,0.0,2,86.26183374835472,13.398303686875254,0.8488760268261663,3
100,0.0,4,86.26183374835472,13.398303686875254,0.8488760268261663,3
100,1.0,0.5,1686.4645434889344,1178.7139901664916,0.2809797553307937,3
100,1.0,1,20781.304569925745,20761.08495529093,0.0009376821624977177,3
100,1.0,2,5145176.598200704,2231435.5551788625,0.5677367704034794,3
100,1.0,4,619853687305.183,6241681350.728786,0.9887039415737503,3
100,2.0,0.5,2349.290208409659,1646.8885579276985,0.27840020453043013,3
100,2.0,1,41476.34730610315,41457.673632702375,0.000429578008405153,3
100,2.0,2,20580447.607301574,8956931.743810596,0.5662505000336964,3
100,2.0,4,9917658995589.002,100698744082.8799,0.9886363450462389,3
100,4.0,0.5,3286.667253229513,2317.7148121434307,0.2736665630021204,3
100,4.0,1,82866.43277845792,82849.09318312707,0.00019689050013390211,3
100,4.0,2,82321531.64370506,35784920.21231032,0.5666726725506127,3
100,4.0,4,158682543928130.06,1618959822474.4802,0.9885710965586957,3
